youtube_id,description,total_languages,am,ar,az,bn,ca,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,ga,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,km,kn,ko,ku,la,lt,lv,mg,mk,ml,mr,ms,mt,nb,ne,nl,no,or,pa,pl,pt,ro,ru,rw,si,sk,sl,sq,sr,sv,sw,ta,th,tl,tr,ug,uk,ur,vi,vo,xh,zh-cn,zh-tw
YPSJDEH0UIE,"#SETMEFREE Challenge with #릴리🐨 #TWICE #트와이스 #READYTOBE

TWICE 12TH MINI ALBUM ""READY TO BE""

📌Listen ""SET ME FREE (Remixes)"" Here🗝
TWICE.lnk.to/READYTOBERemixes

TWICE Official Shop: https://TWICE.lnk.to/Shop
TWICE Official YouTube: http://www.youtube.com/c/TWICE
TWICE Official Facebook: http://www.facebook.com/JYPETWICE
TWICE Official Twitter: http://www.twitter.com/JYPETWICE
TWICE Official TikTok https://www.tiktok.com/@twice_tiktok_...
TWICE Official Instagram: http://www.instagram.com/TWICETAGRAM
TWICE Official Homepage: http://TWICE.jype.com
TWICE Official Fan's: http://fans.jype.com/TWICE

ⓒ 2023 JYP Entertainment. All Rights Reserved

#TWICE #READYTOBE #SETMEFREE",8,0,0,0,0,0,0,0,0,1,0,52,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RJbjASZpcBI,"#LE_SSERAFIM #르세라핌 공식 채널
#LE_SSERAFIM #르세라핌 OFFICIAL CHANNEL

Connect with LE SSERAFIM:
OFFICIAL INSTAGRAM https://www.instagram.com/le_sserafim/
OFFICIAL X (TWITTER) https://x.com/le_sserafim
OFFICIAL JAPAN X (TWITTER) https://x.com/le_sserafim_jp
OFFICIAL FACEBOOK https://www.facebook.com/official.lesserafim/
OFFICIAL WEVERSE https://weverse.onelink.me/qt3S/t2ra8uwj
OFFICIAL TIKTOK https://www.tiktok.com/@le_sserafim
OFFICIAL WEIBO https://weibo.com/LESSERAFIM
OFFICIAL BILIBILI https://space.bilibili.com/627577002
OFFICIAL DOUYIN https://v.douyin.com/iJgLJpUp/
OFFICIAL SOUNDCLOUD https://soundcloud.com/le_sserafim_official",6,0,0,0,0,0,0,0,0,0,0,52,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cz913rkgGkg,"#재현 #J 
#JAEHYUN_J 
#JAEHYUN_Dandelion 
#NCT #NCT127 #shorts",3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4zZWKv7ANQ,"aespa's 5th mini album ""Whiplash"" is out!
Listen and download on your favorite platform: https://aespa.lnk.to/Whiplash

⚙️ 'Whiplash' MV https://youtu.be/jWQx2f-CErU
🔗 https://aespa.com

aespa Official
https://www.youtube.com/c/aespa
https://www.instagram.com/aespa_official
https://www.tiktok.com/@aespa_official
https://twitter.com/aespa_Official
https://www.facebook.com/aespa.official
https://weibo.com/aespa

#aespa #Whiplash #에스파 
#WINTER #윈터
#æspa #aespaWhiplash",8,0,0,0,0,0,0,0,1,1,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jXcuEAaZ0Tk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
047UJ2uGF8M,"움직임은 don’t stop🐰 stop🐿️ #락챌린지 #LALALALA_Challenge #StrayKids #스트레이키즈 #리노 #LeeKnow #한 #HAN

Listen to ""樂-STAR"" now🤘
https://Stray-Kids.lnk.to/ROCK-STAR

Stray Kids ""樂-STAR""
iTunes & Apple Music: https://Stray-Kids.lnk.to/ROCK-STAR/AppleMusic
Spotify: https://Stray-Kids.lnk.to/ROCK-STAR/Spotify

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official TikTok: https://www.tiktok.com/@jypestraykids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#리노 #LeeKnow 
#한 #HAN
#樂_STAR #ROCK_STAR
#락 #樂 #LALALALA
#StrayKidsComeback
#YouMakeStrayKidsStay

Copyrights 2023 ⓒ JYP Entertainment. All Rights Reserved.",10,0,0,0,0,0,0,0,0,2,0,61,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
Kg7KQotNgKA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLRbN-fptmY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dHz35uVUTyQ,#BLACKPINK #블랙핑크 #WORLDTOUR #BORNPINK #LASVEGAS #ENCORE  #YG,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vrZPnpaT3Ts,#BLACKPINK #블랙핑크 #BPM #BORN_PINK_MEMORIES #Roll_26 #WORLD_TOUR #MACAU #YOUTUBE #YG,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8V5yzu158XE,"#aespa #æspa #에스파
#SMTOWN2025 #Behind 

SMTOWN LIVE 2025 [THE CULTURE, THE FUTURE] TOUR is coming soon!
 
📍 SMTOWN LIVE 2025 in MEXICO CITY 
📅 2025.05.09(FRI)
🎫 TICKET (bit.ly/3QKTBbY)

📍 SMTOWN LIVE 2025 in L.A.
📅 2025.05.11(SUN)
🎫 TICKET (bit.ly/4koxAx2)

📍 SMTOWN LIVE 2025 in LONDON
📅 2025.06.28(SAT)
🎫 TICKET (bit.ly/4khSEp3)

aespa Official
https://www.youtube.com/c/aespa
https://www.instagram.com/aespa_official
https://www.tiktok.com/@aespa_official
https://twitter.com/aespa_Official
https://www.facebook.com/aespa.official
https://weibo.com/aespa",11,1,0,0,0,0,0,0,1,0,0,35,3,0,0,0,0,2,0,0,0,0,0,2,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0E5YMIUgpAU,#BLACKPINK #블랙핑크 #WORLDTOUR #BORNPINK #DALLAS #HIGHLIGHT #YG,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x0Lo7nqjMoc,"#TAEYONG #태용 
#VirtualInsanity #SHALALA #샤랄라
#NCT #NCT127 #TAEYONG_SHALALA

TAEYONG's 1st mini album ""SHALALA"" is out!
Listen and download on your favorite platform: https://TAEYONG.lnk.to/SHALALA

✨ '샤랄라 (SHALALA)' MV https://youtu.be/aO5DPf0vebc

TAEYONG Official
https://www.youtube.com/nctsmtown
https://www.youtube.com/@TAEYONG/
https://www.instagram.com/nct
https://www.tiktok.com/@official_nct
https://twitter.com/NCTsmtown
https://www.facebook.com/NCT.smtown",5,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
y_xBoYMjWik,"Stay tuned for #BLACKPINK 🖤💖 #PinkVenomChallenge Only on YouTube Shorts

#BLACKPINK #블랙핑크 #JISOO #지수 #PreReleaseSingle #PinkVenom #PinkVenomChallenge #YouTube #Shorts #YG",5,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QHD8M6PswwU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hk0Xgy03UIA,#JISOO_FLOWER #지수꽃 #ME #JISOO #지수 #JENNIE #제니 #ROSÉ #로제 #LISA #리사 #블랙핑크 #FLOWERchallenge,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWnjHmBrhNs,"CHANYEOL's 1st mini album ""Black Out"" is out! 
Listen and download on your favorite platform: https://CHANYEOL.lnk.to/BlackOut

🖤 'Black Out' MV https://youtu.be/YI_AM-mFCNk 
🥊 'Back Again' https://youtu.be/bZLpoXVV4X4

CHANYEOL Official
https://www.youtube.com/weareoneEXO
https://www.facebook.com/weareoneEXO
https://www.instagram.com/weareone.exo
https://twitter.com/weareoneEXO
https://www.tiktok.com/@weareone.exo_official

#CHANYEOL #찬열 #BlackOut #Clover
#CHANYEOL_BlackOut #CHANYEOL_Clover
#EXO #엑소 #weareoneEXO",7,0,1,0,0,0,0,0,0,1,0,43,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yzAA-8CrWCY,"JAEHYUN's 1st album ""J"" is out!
Listen and download on your favorite platform: https://JAEHYUN.lnk.to/JThe1stAlbum

📻 'Smoke' MV https://youtu.be/lJGCD3H9xcg
🌼🥀 'Dandelion & Roses' MV https://youtu.be/0nPxb9zMBtE 

JAEHYUN Official
https://www.youtube.com/nctsmtown
https://www.instagram.com/nct
https://www.tiktok.com/@official_nct
https://twitter.com/NCTsmtown
https://www.facebook.com/NCT.smtown

#JAEHYUN #재현 #CantGetYou 
#J #JAEHYUN_J 
#NCT #NCT127",8,0,0,0,0,0,0,0,1,2,0,37,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TI3sxvPUCEo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4y6J62no6yk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y4Tr8LE5yV4,"NewJeans (뉴진스) 'Right Now' Dance Practice (Fix ver.)

ⓒ 2024 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87
OFFICIAL YOUTUBE https://www.youtube.com/c/NewJeans_official
OFFICIAL WEBSITE https://newjeans.kr
OFFICIAL INSTAGRAM https://www.instagram.com/newjeans_official
OFFICIAL TWITTER https://twitter.com/NewJeans_ADOR
NewJeans TWITTER https://twitter.com/NewJeans_twt
OFFICIAL TIKTOK https://www.tiktok.com/@newjeans_official
OFFICIAL WEVERSE https://weverse.io/newjeansofficial
OFFICIAL FACEBOOK https://www.facebook.com/official.newjeans
OFFICIAL JAPAN TWITTER https://twitter.com/@NewJeans_jp
OFFICIAL WEIBO  https://weibo.com/NewJeansADOR
OFFICIAL BILIBILI https://space.bilibili.com/3493092783032940

#NewJeans #뉴진스 #ADOR 
#NewJeans_Right Now #NewJeans_Supernatural
#NewJeans_is_Everywhere",7,0,0,0,0,0,0,0,0,0,0,75,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
l_eiDqD4MDg,"aespa Official
https://www.youtube.com/c/aespa
https://www.instagram.com/aespa_official
https://www.tiktok.com/@aespa_official
https://twitter.com/aespa_Official
https://www.facebook.com/aespa.official
https://weibo.com/aespa

#aespa #에스파
#NINGNING #닝닝",4,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QIbfPcIfl64,"KAI's 3rd mini album ""Rover"" is out!
Listen and download on your favorite platform: http://KAI.lnk.to/Rover

🏍 'Rover' MV https://youtu.be/zlTIextYnyQ

KAI Official
https://www.youtube.com/weareoneEXO
https://www.youtube.com/KAIyoutube
https://www.facebook.com/weareoneEXO
https://www.instagram.com/weareone.exo
https://twitter.com/weareoneEXO
https://www.tiktok.com/@weareone.exo_official

#카이 #KAI 
#정우 #JUNGWOO #NCT #NCT127
#엑소 #EXO #weareoneEXO 
#Rover #KAI_Rover
#RoverChallenge",6,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1ZqORJgcEw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U-xPx62zMds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wsSmCuFyJAo,"aespa Official
https://www.youtube.com/c/aespa
https://www.instagram.com/aespa_official
https://www.tiktok.com/@aespa_official
https://twitter.com/aespa_Official
https://www.facebook.com/aespa.official
https://weibo.com/aespa

#aespa #æspa #에스파
#NINGNING #닝닝",5,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klbdGv5Bz3U,#JISOO_FLOWER #지수꽃 #ME #JISOO #BLACKPINK #블랙핑크 #FLOWERchallenge,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yClGpsAUm84,"EXO-SC’s 1st album ""10억뷰 (1 Billion Views)"" is out!
Listen and download on your favorite platform: https://smarturl.it/EXO-SC_1BillionViews

📺'10억뷰 (1 Billion Views) (Feat. MOON)' MV: https://youtu.be/9sLaT9eHAYQ
🎁'척 (Telephone) (Feat. 10CM)' MV: https://youtu.be/5Lw38CVAVxw
📺 'On Me' Track MV: https://youtu.be/6SbXGBC7GU4

EXO-SC Official
http://www.youtube.com/weareoneEXO
http://www.facebook.com/weareoneEXO
http://www.instagram.com/weareone.exo
http://twitter.com/weareoneEXO

#EXO_SC #1BillionViews #Nothin #찬열
EXO-SC 세훈&찬열 'Nothin’' Track MV (CHANYEOL Solo) ℗ SM ENTERTAINMENT",8,0,0,0,0,0,0,0,0,4,0,44,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
