youtube_id,description,total_languages,af,bg,ca,cs,cy,da,de,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mk,nl,no,pl,pt,ro,ru,sk,sl,so,sq,sv,sw,th,tl,tr,uk,vi,zh-cn,zh-tw
QWZgoOoqgBU,"CHANYEOL's 1st mini album ""Black Out"" is out! 
Listen and download on your favorite platform: https://CHANYEOL.lnk.to/BlackOut

🖤 'Black Out' MV https://youtu.be/YI_AM-mFCNk

CHANYEOL Official
https://www.youtube.com/weareoneEXO
https://www.facebook.com/weareoneEXO
https://www.instagram.com/weareone.exo
https://twitter.com/weareoneEXO
https://www.tiktok.com/@weareone.exo_official

#CHANYEOL #찬열 #BlackOut 
#CHANYEOL_BlackOut
#EXO #엑소 #weareoneEXO",14,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
H29bXhbpNl8,"방에서 즐기는 방탄소년단 콘서트 
BANGBANGCON21 coming soon!

2021.04.17 3PM (KST)

#방방콘21​ #BANGBANGCON21​ 


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://channels.vlive.tv/FE619 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://i.youku.com/btsofficial 
http://btsblog.ibighit.com",8,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
GvIM_rbI6Wk,"#시티골든벨 
#THE_NCT_SHOW #엔쇼 #도전_시티골든벨
#JOHNNY #TAEYONG #JAEHYUN #JUNGWOO
#MARK #XIAOJUN #HENDERY
#JENO #JISUNG #SUNGCHAN
#NCT #NCT127 #NCTDREAM #WayV


NCT Official
http://www.youtube.com/nctsmtown
http://www.instagram.com/nct
http://www.tiktok.com/@official_nct
http://twitter.com/NCTsmtown
http://www.facebook.com/NCT.smtown",8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1sA1zwcBhyQ,"Create a 15-second YouTube Shorts using our moves with hashtag #PermissiontoDance & #Shorts in the title. Let's spread positive energy⚡ all over the world! Also, don't miss the chance to get featured on a compilation video!

*More info: https://blog.youtube/news-and-events/bts-and-youtubes-permission-to-dance-challenge-kicks-off-today-only-on-youtube-shorts

뷔의 안무를 활용한 15초 영상을 제목에 #PermissiontoDance, #Shorts 해시태그를 넣어 YouTube Shorts에 올려주세요!  중요한 건 우리 모두가 즐기는 것!😎 추후 컴필레이션 비디오에 피처링⚡되는 기회도 놓치지 마세요!

*더 알아보기: https://youtube-kr.googleblog.com/2021/07/permission-to-dance-challenge.html",14,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
B1qq8IvzSz4,"NCT DREAM's ""DREAMSCAPE"" is out! 
Listen and download on your favorite platform: https://NCTDREAM.lnk.to/DREAMSCAPE

💐 'Flying Kiss' MV https://youtu.be/oFRnSLNtSbc

[Tracklist] 
01 INTRO : DREAMSCAPE
02 When I’m With You
03 Flying Kiss
04 i hate fruits 
05 No Escape
06 Best of Me
07 YOU (숲)
08 하늘을 나는 꿈 (Heavenly)
09 밤 (Night Poem)
10 Off The Wall
11 Rains in Heaven

NCT DREAM Official
https://www.youtube.com/nctdream
https://www.instagram.com/nct_dream
https://www.tiktok.com/@official_nct
https://twitter.com/NCTsmtown_DREAM
https://www.facebook.com/NCTDREAM.smtown
https://twitter.com/NCT_OFFICIAL_JP

#NCTDREAM #엔시티드림 #WhenImWithYou 
#NCTDREAM_WhenImWithYou
#DREAMSCAPE #NCTDREAM_DREAMSCAPE
NCT DREAM 엔시티 드림 'When I'm With You' MV ℗ SM Entertainment",18,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
NAm2Ts-w310,#JISOO_FLOWER #지수꽃 #ME #JISOO #지수 #BLACKPINK #블랙핑크 #FLOWERchallenge #Shorts,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RdXE6yoW-ak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48WTUOhaAwc,"[Light Jeans] 2024 TMA Behind ✨ | NewJeans 

ⓒ 2024 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87
OFFICIAL YOUTUBE https://www.youtube.com/c/NewJeans_official
OFFICIAL WEBSITE https://newjeans.kr
OFFICIAL INSTAGRAM https://www.instagram.com/newjeans_official
OFFICIAL TWITTER https://twitter.com/NewJeans_ADOR
NewJeans TWITTER https://twitter.com/NewJeans_twt
OFFICIAL TIKTOK https://www.tiktok.com/@newjeans_official
OFFICIAL WEVERSE https://weverse.io/newjeansofficial
OFFICIAL FACEBOOK https://www.facebook.com/official.newjeans
OFFICIAL JAPAN TWITTER https://twitter.com/@NewJeans_jp
OFFICIAL WEIBO  https://weibo.com/NewJeansADOR
OFFICIAL BILIBILI https://space.bilibili.com/3493092783032940

#NewJeans #뉴진스  
#Light_Jeans
#NewJeans_is_Everywhere",14,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
u7NLG0aO5hg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO7_m9W-Le8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
