comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxB_nTuzqLVhDuc4r94AaABAg,,False,@eldiaz5743,Bahlil cik 😹,0,2025-05-16T10:05:19Z,2025-05-16T10:05:19Z
Ugxcol3ebgoWk_0ff9x4AaABAg,,False,@차태식-q1w,흑형은 누구냐,1,2025-04-29T10:28:56Z,2025-04-29T10:28:56Z
UgwRZX4-qid1GqbtEFR4AaABAg,,False,@채리-t1h,꿈에 나올거같아요 ㅠㅠ,0,2025-04-24T15:15:01Z,2025-04-24T15:15:01Z
UgxjgfXv2PB5ApnqoYd4AaABAg,,False,@Smallpan2424,XDDD,0,2025-04-21T17:14:37Z,2025-04-21T17:14:37Z
UgzBd6rTmGwTyos66k54AaABAg,,False,@TheodoreDahmer,❤❤❤❤😅😊,0,2025-04-21T04:36:21Z,2025-04-21T04:36:21Z
Ugy7Iru2Bjn-U9XtMLx4AaABAg,,False,@ko7713,비쿄바형 엔딩요정은 아니지,0,2025-04-20T01:30:56Z,2025-04-20T01:30:56Z
UgyvHGsSzUYqaGC06YZ4AaABAg,,False,@v.a2232,Tbf he actually done fairly well 😂,0,2025-04-19T15:39:58Z,2025-04-19T15:45:09Z
UgzUJd9TxiEPimVoa8J4AaABAg,,False,@nieloverridergt2812,It's should be me not him 🥺😭😭,0,2025-04-19T11:11:43Z,2025-04-19T11:11:43Z
Ugz50027jELTdZQwpVd4AaABAg,,False,@EmineYardımcı-g2z,You can t play nicely from the karına it is better for your abdomen it s not like the type like you like you!!!!,0,2025-04-19T06:32:18Z,2025-04-19T06:32:18Z
UgzTCwLUcmn47m21C_t4AaABAg,,False,@장바-w1k,뭐야 저 바보는 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-04-15T13:12:02Z,2025-04-15T13:12:02Z
UgxKQ96Woelec3PobFV4AaABAg,,False,@SnehaLove-t9e,KARINA she is very beautiful,1,2025-04-06T20:38:20Z,2025-04-06T20:38:20Z
UgyFORlWdFrjQyMBlpV4AaABAg,,False,@정시윤-o9z,😂,1,2025-04-06T16:26:05Z,2025-04-06T16:26:05Z
UgwnRyyc1fDT-v-cyih4AaABAg,,False,@kdy-ty4ij,나단이 개 기엽노 ㅋㅋㅋㅋㅋ,2,2025-04-05T23:27:44Z,2025-04-05T23:27:44Z
Ugxc3ySmEJgmS1uqC2F4AaABAg,,False,@PeterParker-jd9wo,😂😂😂,1,2025-04-03T07:59:08Z,2025-04-03T07:59:08Z
UgxJMSkfE9fL48llv014AaABAg,,False,@Squirrel3174,조나단이 제일귀엽네,1,2025-03-31T13:41:39Z,2025-03-31T13:41:39Z
Ugy57Oc4lHnwww2r63Z4AaABAg,,False,@TheDenycesc,bro doing funeral dance in ghana,2,2025-03-30T04:27:23Z,2025-03-30T04:27:23Z
UgxcoT7addii3EUG7IN4AaABAg,,False,@ofiektht105,Dia namanya siapa dah?,1,2025-03-29T21:34:27Z,2025-03-29T21:34:27Z
UgzWNcFIQMiLm6p9ezB4AaABAg,,False,@이대욱-q3q,ㅋㅋㅋ 기엽구만,1,2025-03-20T23:36:17Z,2025-03-20T23:36:17Z
Ugx-x3-w4eerXbR1o8x4AaABAg,,False,@체크팩트-o7e,니가 감히.. 니가..,0,2025-03-20T23:31:44Z,2025-03-20T23:31:44Z
Ugz0Y_bY1_JZtTrQIh14AaABAg,,False,@kwonsp1,조나단 너무 귀여워..ㅋ,0,2025-03-20T04:53:51Z,2025-03-20T04:53:51Z
UgyRYjqm4o9YBE0kO554AaABAg,,False,@외-_삼촌,카리나 귀엽넼ㅋㅋ,0,2025-03-18T14:44:11Z,2025-03-18T14:44:11Z
UgxeJEsUApidIf7XpzF4AaABAg,,False,@MarjorieTeoViolin,Jonathan 😂😂😂 this is gold! Made my day!!,1,2025-03-13T17:41:59Z,2025-03-13T17:41:59Z
Ugwi5cfkz2HeH0V-lIh4AaABAg,,False,@jinsukim8802,비켜라,1,2025-03-12T16:17:47Z,2025-03-12T16:17:47Z
Ugzqq0qhUxM_aX6NaXd4AaABAg,,False,@totallynotluella143,Who is that,1,2025-03-11T20:04:50Z,2025-03-11T20:04:50Z
UgxRxsbyT30zGSCH-u14AaABAg,,False,@youou-z6p,l😂😊😅 last time he think he is highligt 😮,1,2025-03-10T16:35:19Z,2025-03-10T16:35:19Z
Ugxlug9eBsU60OEaEGN4AaABAg,,False,@BondiBeache,하지마 이 색....하아.....나단이 너무 해맑아서 봐준다...,1,2025-03-07T11:03:24Z,2025-03-07T11:03:24Z
Ugww2iQt67GoS4p61LR4AaABAg,,False,@StayELF82,Cuties❤,1,2025-03-07T04:28:16Z,2025-03-07T04:28:16Z
Ugz1owXil045CdZUGFt4AaABAg,,False,@soccer87777,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅌㅋ 조나단 진짜 성공했네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀엽게 뚝딱거리냐 ㅋㅋㅋㅋㅋㅋㅋ,22,2025-03-06T12:16:59Z,2025-03-06T12:16:59Z
Ugy-RpXFGvMpUfpH5Il4AaABAg,,False,@017ltv,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-03-06T12:00:03Z,2025-03-06T12:00:03Z
UgzJVXN-nynHOQJ7vTp4AaABAg,,False,@임이융,나단앜ㅋㅋㅋㅋㅋ,1,2025-03-05T10:15:18Z,2025-03-05T10:15:18Z
UgzAwYnhp6L60yoPL4R4AaABAg,,False,@AfricanBaddie-cc8tb,😂😂😂😂😂😂,1,2025-03-04T23:06:45Z,2025-03-04T23:06:45Z
Ugy2YMWux3PFpreD7Th4AaABAg,,False,@SumDumGoi,LOL!!! Nadani looks like he got whiplash.,1,2025-03-03T12:47:52Z,2025-03-03T12:47:52Z
UgxQP7xNOH_1h2M-g3h4AaABAg,,False,@AVA-fs9pi,"둘이 잘어울린당
결혼했음 좋겠다😢",3,2025-02-28T23:57:44Z,2025-02-28T23:57:44Z
Ugxz4Rl0c7V4Dh8Q_Lt4AaABAg,,False,@olanyAlcantara,"Seria esa yo , cuando me gane los nervios",3,2025-02-28T18:48:30Z,2025-02-28T18:48:47Z
UgwAp2RoLeEOlZW6GAt4AaABAg,,False,@allidejun3722,Please SM Jonathan diserves debut,0,2025-02-27T16:43:37Z,2025-02-27T16:43:37Z
UgwnLrPpl9Cv7Ga2HR14AaABAg,,False,@lumingbro,"This is my new favorite workout routine, who needs the gym",2,2025-02-27T06:22:15Z,2025-02-27T06:22:15Z
UgxwiFYzRgYXVn2-dCt4AaABAg,,False,@Dkxkzks7722,ㅈㄴ 기괴하네..,1,2025-02-25T08:51:08Z,2025-02-25T08:51:08Z
UgxTg_2d-ay16taalkR4AaABAg,,False,@deano5072,이 조합은 대체뭐지,2,2025-02-20T06:00:35Z,2025-02-20T06:00:35Z
UgzKju2XCgcYfdss3r14AaABAg,,False,@씨부레-n9l,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-02-19T01:16:05Z,2025-02-19T01:16:05Z
Ugz9Ct8wZCJg__SDO6Z4AaABAg,,False,@riwoostop1fan,johnathan ate that up bro,1,2025-02-13T00:22:13Z,2025-02-13T00:22:13Z
UgxCFJId7pHGyK8P04R4AaABAg,,False,@riannasd1,"eu danço assim, igual o homem",2,2025-02-10T03:06:49Z,2025-02-10T03:06:49Z
UgxO2ic9t2biPDUH4bl4AaABAg,,False,@이상아-l1l,조나단오빠 삐꺽대내 귀여오,1,2025-02-09T12:26:28Z,2025-02-09T12:26:28Z
UgyrLLynMBd88shHO5F4AaABAg,,False,@hananeneda1490,❤❤❤😂❤❤,1,2025-02-09T10:30:22Z,2025-02-09T10:30:22Z
Ugyz2ZYAtUcR8pXxnMJ4AaABAg,,False,@핼로뿡뿡이들,귀여워…ㅋㅋㅋ,1,2025-02-07T12:08:31Z,2025-02-07T12:08:31Z
UgxJewh7y-oOenYora14AaABAg,,False,@GoldRush-To-stock,이 ㅅㄲ 천재 같아,1,2025-02-06T07:04:30Z,2025-02-06T07:04:30Z
UgzmxAc1_gqL52VtjQd4AaABAg,,False,@moots_da_Haerin3,LOL😂,1,2025-02-05T22:23:44Z,2025-02-05T22:23:44Z
Ugy4Dm0HEHvGHMDFCbl4AaABAg,,False,@hebreooo,❤😂karina,1,2025-02-05T13:56:22Z,2025-02-05T13:56:22Z
UgxMT1V4Rdt76_7By_x4AaABAg,,False,@종합늅,나단이 버퍼링 걸린것 같아서 좋다,1,2025-02-05T11:05:41Z,2025-02-05T11:05:41Z
UgwalTZUlUM4DCQUbbR4AaABAg,,False,@IHIH-fr7sz,어!! 외국인 코스프레 하는 나단이 형아닷,1,2025-02-04T04:54:34Z,2025-02-04T04:54:34Z
UgzCjAwVH4t0_7gvhCh4AaABAg,,False,@종잘러,"아니,상상이안간다 ㅋ ㅋ",1,2025-02-04T02:12:52Z,2025-02-04T02:12:52Z
UgwCx3fK5P5N8WlFP9J4AaABAg,,False,@Dede_777,Jojo ma Star 😂❤,2,2025-02-04T01:58:49Z,2025-02-04T01:58:49Z
UgwetpUbEdAiR7Ktvil4AaABAg,,False,@Pedroso_alice,나보다 춤 더 잘 추네 ㅋㅋ 디부 ✨️✨️✨️💅☀️🤙,1,2025-02-03T15:43:05Z,2025-02-03T15:43:05Z
UgxGw4NHb35eBYTI1P14AaABAg,,False,@RyuSeungho,나단이 개웃기닼ㅋ,1,2025-02-03T15:15:07Z,2025-02-03T15:15:07Z
UgzcUJNDeheV4sR3fF54AaABAg,,False,@JBae1208,나단이 귀엽다,2,2025-02-02T14:44:09Z,2025-02-02T14:44:09Z
Ugxb2UcwD0CnjCKDNDJ4AaABAg,,False,@eugenetan7372,This guy is so funny 😂,1,2025-02-02T08:45:52Z,2025-02-02T08:45:52Z
UgwY9O9rsFtq08k8NFd4AaABAg,,False,@МаксимГапченко,"Это чо, незуко?",1,2025-02-02T08:10:42Z,2025-02-02T08:10:42Z
UgxjNqybKsSJw7GQtOh4AaABAg,,False,@豊田純一,独特なリズムはどこで習得出来るかわからんですなぁ(*´∀｀),0,2025-02-01T23:53:02Z,2025-02-01T23:53:02Z
UgzfoZC01I0CG298EEZ4AaABAg,,False,@jyb9387,샘해밍턴ㅡ 아 그 외국인 코스프레하는 친구,0,2025-02-01T20:34:01Z,2025-02-01T20:34:01Z
UgxPQWZYdBSy3fC7DFF4AaABAg,,False,@peaceful79-m8n,히히히 나단아 나단아,0,2025-01-31T13:06:24Z,2025-01-31T13:06:24Z
Ugw9gg4nJxYY-Ol_bmB4AaABAg,,False,@AdrianLoomis,칠가이 조나단 ㅋㅋ,0,2025-01-31T08:34:30Z,2025-01-31T08:34:30Z
Ugx10XqEnMT1Kk_juUV4AaABAg,,False,@개추워크래용-i3c,친한거 맞네,0,2025-01-30T17:53:36Z,2025-01-30T17:53:36Z
Ugx1wXq8vO8cFxXRlEJ4AaABAg,,False,@tenderness3362,겟아웃 주인공 같노 ㅋㅋㅋㅋㅋㅋㅋㅋ,2,2025-01-27T13:19:33Z,2025-01-27T13:19:33Z
UgxrgaS1jVYE5D-5QnZ4AaABAg,,False,@연분홍치마-b6g,"조나단 춤 개성있네
개성만 있네",0,2025-01-26T15:19:33Z,2025-01-26T15:19:33Z
UgxaNeyAYkLQBuAztHx4AaABAg,,False,@Hitter1006,카리나를 상대로 시강이 가능하다니 ㅋㅋ,0,2025-01-26T11:48:29Z,2025-01-26T11:48:29Z
UgzxdU0hfFkEzs8AJHJ4AaABAg,,False,@johncoco1024,かわいい😂,0,2025-01-26T10:24:42Z,2025-01-26T10:24:42Z
UgyfRXF4MV0bsZ_Q3HN4AaABAg,,False,@Maru-3001,아무리 나단형이라도 미안하지만 비켜봐 ㅋㅋ,0,2025-01-25T22:10:08Z,2025-01-25T22:10:08Z
UgwzadcVg9DzgniyGVF4AaABAg,,False,@린더블류,고장난듯,0,2025-01-25T13:57:17Z,2025-01-25T13:57:17Z
Ugwb_zWQk0PJsxnNVuh4AaABAg,,False,@레트또봇,조나단 첨에 침 뱉는줄,0,2025-01-25T12:51:11Z,2025-01-25T12:51:11Z
UgzvhC9Yll_38zLP_oV4AaABAg,,False,@김솜솜-d7b,ㅋㅋㅋㅋㅋㅋㅋ😂ㅋㄷㅋㄷㅋㄷㄷㅋㄷㄷㅋㅋ,0,2025-01-25T09:45:02Z,2025-01-25T09:45:02Z
UgyFSJK-mf-KaoPDdAZ4AaABAg,,False,@어차피할껀데,흑형...,0,2025-01-25T05:44:12Z,2025-01-25T05:44:12Z
Ugxv5aX1wrmjeyQCJOR4AaABAg,,False,@becometrue2093,이 둘은 아주 유명한 친구입니다 ㄹㅇㅋㅋ,0,2025-01-25T03:16:19Z,2025-01-25T03:16:19Z
UgyU4KHhdBizo51ICKl4AaABAg,,False,@우로스문-g7y,나단이는 더열심히 연습하셔 아직 안돼,0,2025-01-24T12:33:58Z,2025-01-24T12:33:58Z
UgyiGFsR0wimlz0vTJN4AaABAg,,False,@kekacang3906,jonathan trust me thats now a whiplash thats  an eyelash,0,2025-01-23T17:57:07Z,2025-01-23T17:57:07Z
UgykttazqBdQVu5o7rF4AaABAg,,False,@말랑자매,카리나 입은 티셔츠 정보 알고 싶어요,0,2025-01-23T08:14:07Z,2025-01-23T08:14:07Z
Ugz0NMBPRaY51tgqCDh4AaABAg,,False,@williampandaholiday,there go your ratings... and your fans!,1,2025-01-23T07:01:00Z,2025-01-23T07:01:00Z
UgxZBvlY4gJaOaC2o9B4AaABAg,,False,@krisnac475,Hahahahah so funny 😂😂😂,1,2025-01-22T20:09:04Z,2025-01-22T20:09:04Z
UgxEjHQio---lUXO-Rt4AaABAg,,False,@TomikaLaza-d6w,전세계 카리나를 밀친 유일한 남자 ㄷㄷ,0,2025-01-22T15:12:21Z,2025-01-22T15:12:21Z
UgzXoUNRa1JwG2fQU014AaABAg,,False,@mbos4115,"As a black guy, he has no rhythm…",0,2025-01-22T14:00:20Z,2025-01-22T14:00:20Z
UgyXXfu9S2VlhT4DNal4AaABAg,,False,@딸기딸기딸기우유,조나단님  춤 잘치네❤❤❤❤❤,1,2025-01-22T13:51:38Z,2025-01-22T13:51:38Z
Ugw0rL6aBPAHNK-HFux4AaABAg,,False,@성이름-e5k5x,나단아 너가 이 정도까지 행복해지길 바랬어.,0,2025-01-22T11:55:49Z,2025-01-22T11:55:49Z
UgxYGyRHz65OF0VtDSh4AaABAg,,False,@ritty0913,😂😂😂,0,2025-01-22T09:08:35Z,2025-01-22T09:08:35Z
UgyNASczo5--pUEd06d4AaABAg,,False,@user-bw7kv4co2x,흑형 폼 미쳤다,0,2025-01-22T03:25:54Z,2025-01-22T03:25:54Z
Ugy6GfUMqPv8wv5KsOJ4AaABAg,,False,@배라-BYJ,고장났노ㅋㅋㅋㅋㅋㅋ와중에 개부럽..,0,2025-01-22T00:22:46Z,2025-01-22T00:22:46Z
Ugw2AfkBASQEbTb1w4l4AaABAg,,False,@우범송-j9j,어디 고장난 장난감같네 ㅋㅋ,0,2025-01-21T13:00:47Z,2025-01-21T13:00:47Z
Ugxz9Np6uFe8Xt3ttXd4AaABAg,,False,@Loveyouparis22,나단이 혹시 감전된거면 오른쪽 눈 찡그려봐,0,2025-01-21T11:37:20Z,2025-01-21T11:37:20Z
Ugzz1mLgx6nc-O2AT5l4AaABAg,,False,@jsyoun3946,코코볼 치워라,1,2025-01-21T09:24:07Z,2025-01-21T09:24:07Z
UgyuLQCUkVcKpayqOGx4AaABAg,,False,@김삿갓-p6z,조나단 ㅋㅋ,0,2025-01-21T07:45:43Z,2025-01-21T07:45:43Z
UgzWsDsRUq_YjnCdNG94AaABAg,,False,@파란시민,몸이 왜 그래???,0,2025-01-20T19:44:04Z,2025-01-20T19:44:04Z
UgwPQJii3eGwneDdnLh4AaABAg,,False,@risksasi8095,뒤에서 웃을때마다 섬찟하네...,2,2025-01-20T14:05:00Z,2025-01-20T14:05:00Z
UgyL549eVjPohmgOcUJ4AaABAg,,False,@핫한이슈,나단이 형 리 나누나한테 산 넘지 마요..,0,2025-01-20T13:58:46Z,2025-01-20T13:58:46Z
Ugw5vH8nRaLJmt9bAQx4AaABAg,,False,@사람-b5t6r,조나단은 어깨 탈골아니냐?,0,2025-01-20T13:16:00Z,2025-01-20T13:16:00Z
Ugyn5e-QhmDEUBlKyJx4AaABAg,,False,@시영-g3k,나단이 몸 고장낫나,0,2025-01-20T12:26:51Z,2025-01-20T12:26:51Z
Ugykb4DV0x-q0F_if3R4AaABAg,,False,@비달사슴,우리 나단이...목디스크와 오십견으로 인한 어깨탈골...😂😂😂😂,1,2025-01-20T12:11:16Z,2025-01-20T12:11:16Z
UgyzLxCca_xBQl2b80x4AaABAg,,False,@김난다-m5s,우리나라에선 외국인이 방송에서 살아님기 쉽지않은데 넌 좀 하는구나 ㅋ,0,2025-01-20T12:10:56Z,2025-01-20T12:10:56Z
UgyZqcUIDqXMQ2Md4mx4AaABAg,,False,@Superstarksh,나단이 형 너무 귀엽다 ㅋㅋ,0,2025-01-20T10:53:23Z,2025-01-20T10:53:23Z
UgyWK3Hir1SaUkVME7l4AaABAg,,False,@wony-play,삐그덕 삐그덕,0,2025-01-20T09:26:02Z,2025-01-20T09:26:02Z
UgxDT3x7csOq-nlOMO14AaABAg,,False,@ouiiizz9378,เมื่อคุณไม่สนิทกับร่างกายตัวเอง เอ็นดูแท้,0,2025-01-20T06:15:16Z,2025-01-20T06:15:16Z
UgzSUDfDnWHNdUjI16B4AaABAg,,False,@user-roykim0.0,눈 희번떡 뜨고 뭐하는거고,0,2025-01-20T03:47:46Z,2025-01-20T03:47:46Z
UgyI25CgY7ZeP9BCVVN4AaABAg,,False,@무무카,조나단 동네 바보형 처럼 나왔네 ㅎㅎㅎ,0,2025-01-19T22:06:38Z,2025-01-19T22:06:38Z
Ugwq4ovmM4uyforX89h4AaABAg,,False,@YongHan-i4v,黑白配。😂,0,2025-01-19T19:01:42Z,2025-01-19T19:01:42Z
UgwLqklEwWcnpcZAfcN4AaABAg,,False,@kingjyo,어딘가..고장났어..,1,2025-01-19T17:54:41Z,2025-01-19T17:54:41Z
UgxGYTesvmesZwivAT14AaABAg,,False,@댄싱예슬,왠일로 조나단 아저씨 밖에 안보이지😂😂,0,2025-01-19T15:42:41Z,2025-01-19T15:42:41Z
UgzWkZMqc1KgjC-BZbx4AaABAg,,False,@동탄소년단-q1y,위!! 위!! 위!! 블랙씨,0,2025-01-19T15:13:30Z,2025-01-19T15:13:30Z
UgxoSCj7F4DXgNY4FYN4AaABAg,,False,@IkerColin-v5o,Amoooooo como bailaaaa❤❤❤ sin hatee🎉,0,2025-01-19T03:03:59Z,2025-01-19T03:03:59Z
UgzpVTf7fglLwG6LEOl4AaABAg,,False,@최주영-e5x,조나단 개웃끼네 ㅋㅋㅋㅋㅋㅋ 개귀엽네 ㅋㅋㅋㅋㅋㅋ,0,2025-01-19T00:15:44Z,2025-01-19T00:15:44Z
UgzpVTf7fglLwG6LEOl4AaABAg.ADSeP3ztXi6AHEEC-WCEsq,UgzpVTf7fglLwG6LEOl4AaABAg,True,@greenscenery1974,난 그 사람이 전혀 웃기지 않는다고 생각해,0,2025-04-22T19:54:13Z,2025-04-22T19:54:13Z
Ugyo3TknwmSoqbo0lml4AaABAg,,False,@AlhassanSajida,"What’s wrong with him, is it by force to dance whiplash 😂😂😂😂",1,2025-01-18T22:38:46Z,2025-01-18T22:38:46Z
Ugzb3IP-DafT4GLVQEd4AaABAg,,False,@Dokkaebimask,와.. 착시효과인가? 자꾸 나단이만 보게 되네 ㅋㅋㅋㅋ,0,2025-01-18T21:04:42Z,2025-01-18T21:04:42Z
UgwZN6EX7TgqP390RyF4AaABAg,,False,@DBates-nr4ec,Peewee Longway??,0,2025-01-18T19:31:41Z,2025-01-18T19:31:41Z
UgyrLLZnX6zbDeFEJTJ4AaABAg,,False,@GottenMusic,🤣🤣🤣,0,2025-01-18T16:24:21Z,2025-01-18T16:24:21Z
Ugw_mV64rTmJTDGGqUl4AaABAg,,False,@user-np3yy6xo7c,나단이형 진심으로 좋아하는데...,0,2025-01-18T15:40:32Z,2025-01-18T15:40:32Z
UgwEZGonLacrQzlRkkd4AaABAg,,False,@brandlee5089,100대 0 ❤❤❤ 목 조심하세요 ❤,1,2025-01-18T14:15:51Z,2025-01-18T14:15:51Z
Ugz0WOb3iUn-wFjUskZ4AaABAg,,False,@성이름-o6b1m,나단이 어디 아파?,0,2025-01-18T13:55:57Z,2025-01-18T13:55:57Z
UgzfZniaAwQeZ8xTlAZ4AaABAg,,False,@user-yj4wi7pd3c,나단이 너무 귀여웤ㄱㅋㅋㅋ,2,2025-01-18T12:04:52Z,2025-01-18T12:04:52Z
UgzAVfrA32gjuaAVazV4AaABAg,,False,@lynggg-q8s,ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-01-18T10:32:14Z,2025-01-18T10:32:14Z
UgyW1qVINhqqFRM9LzB4AaABAg,,False,@凱潓夫妻,😂😂😂😂😂😂😂😂😂😂,0,2025-01-18T02:12:25Z,2025-01-18T02:12:25Z
Ugzs_uE8XZlHSv5yYVB4AaABAg,,False,@djrnt2058,(니가) 그리 행복하길 바란건 아니엇어,0,2025-01-17T21:19:58Z,2025-01-17T21:19:58Z
Ugzr29r4iyXJ3TzHC7B4AaABAg,,False,@기동전사건빵,"몽달 귀신 같앜ㅋㅋㅋㅋㅋㅋ 
땡글땡글하니",0,2025-01-17T18:54:44Z,2025-01-17T18:54:44Z
UgxBNoztJx93xJNxeQN4AaABAg,,False,@RomanReigns453,카리나 성공했네 부커티랑 영상도찍고,1,2025-01-17T18:15:35Z,2025-01-17T18:15:35Z
UgzzSfLyBGXD6hEPet94AaABAg,,False,@user-hh8jdkvtb4,조나단 너무 귀엽다,0,2025-01-17T11:10:45Z,2025-01-17T11:10:45Z
UgwiLl9yilfdKL3q6i54AaABAg,,False,@stephanyribeiro7036,That's adorable 😂❤ he's just happy to be there,2,2025-01-17T01:39:08Z,2025-01-17T01:39:08Z
UgxxKhhjuRx-iBOxy5t4AaABAg,,False,@빵빵빵조아빵,멘탈이건강한 조나단~~요즘 너무좋아~흥해라~,3,2025-01-17T00:59:20Z,2025-01-17T00:59:20Z
UgxThYw2VPsvPP9Jsnh4AaABAg,,False,@e_un633,카리나는 저런 바지를 입어도 예쁘구나,0,2025-01-16T22:43:39Z,2025-01-16T22:43:39Z
Ugy0hPLnv6rXRgo-sq54AaABAg,,False,@infinity1110-f7m,나단이 감전된겨?😂😂,0,2025-01-16T16:46:35Z,2025-01-16T16:46:35Z
Ugwb5ZCO_ZkvbBo-9DZ4AaABAg,,False,@kooni-h3i,흑인중에 몸 제일 못쓸듯,1,2025-01-16T10:25:01Z,2025-01-16T10:25:01Z
UgwkAir0nfStoK3gePt4AaABAg,,False,@정성훈-v4z,나단이 왜 나대... 😢,0,2025-01-16T10:14:32Z,2025-01-16T10:14:32Z
Ugwi2c0R5lc9-Ogztjd4AaABAg,,False,@작두-b8u,"조나단 넘 귀엽다 
춤은 못추는걸로",0,2025-01-16T05:55:26Z,2025-01-16T05:55:26Z
Ugx21wob_MfIdL27x1J4AaABAg,,False,@weihanzhang3023,I love his confidence,0,2025-01-16T04:45:56Z,2025-01-16T04:45:56Z
UgxDDZGsOmj2EnlnjMV4AaABAg,,False,@안집사-f7h,나단이 왜이렇게 고장났어 ㅋㅋㅋㅋ,0,2025-01-15T14:06:40Z,2025-01-15T14:06:40Z
Ugw517MK1oUedJVnLJ14AaABAg,,False,@anylaufe,❤😂❤,0,2025-01-15T13:57:19Z,2025-01-15T13:57:19Z
UgzQxPoLWx5SOmXoF014AaABAg,,False,@김현도-q1o,조나단 중풍왔어?,0,2025-01-15T12:52:13Z,2025-01-15T12:52:13Z
UgzS1_5hI4YD4mnCuYp4AaABAg,,False,@유튭유튜,리나도 흑인한테 가버리는거 아니지?ㅠ,1,2025-01-15T11:07:40Z,2025-01-15T11:07:40Z
UgwQFObRiq5zLzG4zoR4AaABAg,,False,@kkoomkkoo,두분 잘어울리네요❤❤❤,2,2025-01-15T05:30:51Z,2025-01-15T05:30:51Z
UgzEOMqQSsEebCMEsTp4AaABAg,,False,@TaeSunWoo,Man’s is living his best life and I’m for it,1,2025-01-15T02:59:53Z,2025-01-15T02:59:53Z
Ugz7p-yWiTHo9ZjH65d4AaABAg,,False,@크리미-p9o,반지의 제왕 오크 대장같아,0,2025-01-14T14:47:05Z,2025-01-14T14:47:05Z
UgwKTKJpftLT1KJZTRx4AaABAg,,False,@swave2342,ㅋㅋㅋㅋㅋㅋ 조나단 무슨 벽에 자석있어서 끌려가는거같네,0,2025-01-14T14:42:45Z,2025-01-14T14:42:45Z
UgxczqlPn32ybtkBElZ4AaABAg,,False,@marshy73973yyux,Lmao love this guy 😂❤,0,2025-01-14T03:09:44Z,2025-01-14T03:09:44Z
Ugw5-zar87GNgfCcjWB4AaABAg,,False,@kwpineda5663,lmao Jonathan,0,2025-01-14T02:01:52Z,2025-01-14T02:01:52Z
Ugx2YL1tCTh_jEFtC5F4AaABAg,,False,@종혁이-i7m,나도 카리나랑 춤 춰보고 싶다ㅋㅎㄲㅋ조나단 부러워,0,2025-01-14T01:56:00Z,2025-01-14T01:56:00Z
Ugwp2JzSMT0pJ_ezOx94AaABAg,,False,@bapozhang4555,hahahahahahahhahahahahahahahahahah,0,2025-01-13T23:33:10Z,2025-01-13T23:33:10Z
Ugw9Y3x57n702HaVqAN4AaABAg,,False,@MehboobUlRehman,Karina love❤❤❤❤❤❤,0,2025-01-13T16:07:47Z,2025-01-13T16:07:47Z
UgwlxQTFicPNu1uhqQV4AaABAg,,False,@하이쥬-i5d,카리나와 흑형...,3,2025-01-13T13:44:40Z,2025-01-13T13:44:40Z
UgzSLpR6VmMvB1pECeN4AaABAg,,False,@김정훈-y7p,친구는 친구다 머래~,1,2025-01-13T12:13:02Z,2025-01-13T12:13:02Z
Ugyc4w1PktmrE7OzF9B4AaABAg,,False,@林婷婷-u4y,😂😂😂😂😂,0,2025-01-13T08:16:52Z,2025-01-13T08:16:52Z
UgwjkQWCfBueARnUlCl4AaABAg,,False,@fxequalsc,분명 어딘가 고장인데 어딘지 알수가 없네,0,2025-01-12T21:42:58Z,2025-01-12T21:42:58Z
UgwZoHZkbsmoGqbBN7d4AaABAg,,False,@sarabrenna5525,Slay Jonathan,0,2025-01-12T21:28:13Z,2025-01-12T21:28:13Z
UgzaAXjUr_bCT1br7vx4AaABAg,,False,@danielh377,This man's dancing is next level.,0,2025-01-12T20:38:48Z,2025-01-12T20:38:48Z
UgwaXLbGvBmD5nLwiRV4AaABAg,,False,@RubicelaBello,Jonatan me representa😂😂😂,0,2025-01-12T19:41:10Z,2025-01-12T19:41:10Z
UgwTB6WTT3kSSkFZ6Sl4AaABAg,,False,@웃기지마-q8z,군면제지?,0,2025-01-12T15:56:29Z,2025-01-12T15:56:29Z
Ugyw4gZyMGDMHwQ6ZRB4AaABAg,,False,@hooligan659,That dude is so mee😅,0,2025-01-12T14:33:35Z,2025-01-12T14:33:35Z
UgxjE9EnFQ0659Hxwq14AaABAg,,False,@제이홀,일부러 저러는 거지? 그게 아님 이런식 영상 올리는 건 예의가 아니지,1,2025-01-12T13:58:44Z,2025-01-12T13:58:44Z
UgxjE9EnFQ0659Hxwq14AaABAg.ADC60qtxC35ADJQed_9Bfs,UgxjE9EnFQ0659Hxwq14AaABAg,True,@yourface56123,일부로인듯 그리고 둘이 친해요ㅋㅋㅋ,0,2025-01-15T10:13:45Z,2025-01-15T10:13:45Z
