comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyhI1yOLpfushq-U1l4AaABAg,,False,@ketaki1377,Ningning💜👌🏻,0,2025-05-02T05:01:08Z,2025-05-02T05:01:08Z
UgyzBj3aKu0glLUqLQt4AaABAg,,False,@zuleyhaoz-rf8zs,you are cool and fany.😂,0,2025-05-01T21:07:02Z,2025-05-01T21:07:02Z
Ugxd6VVJt_XriGqj89F4AaABAg,,False,@zuleyhaoz-rf8zs,ī am ey begist fan of geselle!😇❤️,0,2025-05-01T21:03:47Z,2025-05-01T21:03:47Z
UgykoJxLvXx9HgYsxbV4AaABAg,,False,@sallylee8576,"지젤 다가졌네
개그, 미모, 시크한 거 다 가졌어❤️❤️
ㅋㅋㅋㅋㅋ",1,2025-04-18T16:21:33Z,2025-04-18T16:21:33Z
UgymHZhWp3iGaRWcvbJ4AaABAg,,False,@faaabi_O2,STUNNING 🤩,0,2025-02-24T02:28:33Z,2025-02-24T02:28:33Z
UgyD0hA7FqQtzaYJ_a94AaABAg,,False,@2094MarjahanAkterTania,GISELLE ✨🔥💥 It's like marry my husband drama vibe.,6,2025-02-23T13:17:01Z,2025-02-23T13:17:01Z
UgyZTzfG3pTmtrDppX54AaABAg,,False,@tlguss,와 대사 ㅋㅋㅋ절로 가는고야?,0,2025-02-15T08:10:48Z,2025-02-15T08:10:48Z
UgyuoHbGB3saWgd1udl4AaABAg,,False,@Haerin-v5i,Wow,0,2025-02-05T19:15:55Z,2025-02-05T19:15:55Z
UgxqdG9hN0-F1z7Xp2p4AaABAg,,False,@miharyArena,Giselle❤,0,2025-01-22T08:22:45Z,2025-01-22T08:22:45Z
Ugw2INPzPPEtCOoFHGN4AaABAg,,False,@임규현-u7t,"지젤은 시크한줄 알았는데 개그캐임 ㅋㅋㅋ
넘 귀여워",1,2025-01-22T00:54:48Z,2025-01-22T00:54:48Z
UgxISxrK1pc9XoKx4T14AaABAg,,False,@Itsnot-Romzxa,Love this fashion show 😂,0,2025-01-18T15:35:58Z,2025-01-18T15:35:58Z
UgwY3Kt1iFAtb-WvsZx4AaABAg,,False,@채이잡아먹은윤설,Omg her walking style is so slay❤,9,2025-01-17T14:31:46Z,2025-01-17T14:31:57Z
UgxJcoTMASD5H1xFXld4AaABAg,,False,@jung-w6h,"닝닝이 귀여워서 툽한 사람만 없으면 지젤,카리나 승인데 근데 닝이가 넘 귀여자너❤",3,2025-01-17T12:36:37Z,2025-01-17T12:36:37Z
UgwG-8bZbSJGa5qEDRx4AaABAg,,False,@강찬강민강은채,앜ㅋ그와중에 외모찢었다앙!,0,2025-01-17T07:43:43Z,2025-01-17T07:43:43Z
Ugx1xtDQLsB5J4isODd4AaABAg,,False,@gumako528,저 썬글라스 내가 쓰면 그냥 왕파린데....ㅜ,0,2025-01-17T01:36:44Z,2025-01-17T01:36:44Z
UgyLF3DT13rqwlwwPYd4AaABAg,,False,@Woo-h9c,지젤은????,0,2025-01-17T00:56:35Z,2025-01-17T00:56:35Z
UgwFNmeXp3EYgj_F1ZB4AaABAg,,False,@햄총사의하루,ㅋㅋㅋ,0,2025-01-16T11:21:08Z,2025-01-16T11:21:08Z
UgzMXc-eC7M1EMP7svB4AaABAg,,False,@RickyforLani,Gisele nailed it,2,2025-01-13T18:36:44Z,2025-01-13T18:36:44Z
UgzCofw3pqXG_z5gdWN4AaABAg,,False,@Danielle8418-y5k,Fashelle I love the outfit but it's too much white,1,2025-01-11T23:16:27Z,2025-01-11T23:16:27Z
UgyZ8TBAVmBRhUbEptN4AaABAg,,False,@jirotomoton,"これもスーパーGiselleタイム🎵
😮☺️☺️☺️",12,2025-01-10T10:33:48Z,2025-01-10T10:33:48Z
