comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugw8gTijXL1SJABC54J4AaABAg,,False,@Rita_u8h,8:14  😂😂😂,0,2025-05-02T07:12:35Z,2025-05-02T07:12:35Z
UgwsUcQ9OA_4NGXfZUR4AaABAg,,False,@Rita_u8h,So cute,0,2025-05-02T07:01:50Z,2025-05-02T07:01:50Z
Ugzix_lQ2cSL_5Dh95Z4AaABAg,,False,@NewJeanzTokki,Adding this comment for myself 3:12 and 6:00,0,2025-01-27T20:40:20Z,2025-01-28T15:18:13Z
UgzzV3t86HwLWLgdfih4AaABAg,,False,@강연이-g5p,"저 샴푸 주문하면 너무 늦게도착하더라구요 
향도 너무좋고 머리가 가렵지도않고  진짜 좋은데 ᆢ많이구입해서  선물도 하고싶고 ᆢ",0,2025-01-01T08:01:19Z,2025-01-01T08:01:19Z
UgxqhOmgLF3Xalc_pEx4AaABAg,,False,@HRH-l4v,they are so BEAUTIFUL,0,2024-11-14T13:08:14Z,2024-11-14T13:08:14Z
UgzPwl6yWj2pxfsx6F94AaABAg,,False,@JH-oj4hw,저녁시간대 힐링타임..  영상 마니 남겨줘서 고마워 얘드라~^^,0,2024-10-09T10:10:40Z,2024-10-09T10:10:40Z
UgwsXkPv7gAZTInNEAh4AaABAg,,False,@PyoJinnChan,❤,0,2024-09-28T17:45:50Z,2024-09-28T17:45:50Z
UgxUP5sz36nUue6ecQx4AaABAg,,False,@loslo548,6:01,0,2024-08-07T16:35:18Z,2024-08-07T16:35:18Z
Ugyhyr95_kKu83krTzR4AaABAg,,False,@나일-i1q,2:12 ~ 3:41,0,2024-07-23T06:36:16Z,2024-07-23T06:39:09Z
Ugyhyr95_kKu83krTzR4AaABAg.A6Dqrfopun7A6DrHTD7wYs,Ugyhyr95_kKu83krTzR4AaABAg,True,@나일-i1q,6:01,0,2024-07-23T06:39:55Z,2024-07-23T06:39:55Z
Ugyhyr95_kKu83krTzR4AaABAg.A6Dqrfopun7A6Drd_dsMJR,Ugyhyr95_kKu83krTzR4AaABAg,True,@나일-i1q,7:38,0,2024-07-23T06:43:05Z,2024-07-23T06:43:05Z
Ugyhyr95_kKu83krTzR4AaABAg.A6Dqrfopun7A6DrkXE466u,Ugyhyr95_kKu83krTzR4AaABAg,True,@나일-i1q,8:06,0,2024-07-23T06:44:01Z,2024-07-23T06:44:01Z
Ugz4RkRE0G0779cNWop4AaABAg,,False,@briannacallie9419,6:18,0,2024-07-14T12:19:17Z,2024-07-14T12:19:42Z
UgxwfOTGH7Uyk5zg9LJ4AaABAg,,False,@folkslala6043,2:17,0,2024-07-13T13:56:24Z,2024-07-13T13:56:24Z
UgyLyEnXrcBGb5so5LR4AaABAg,,False,@gazelle5984,ㅋㅋㅋ 하니 샌드위치! 01:35,0,2024-07-13T12:45:02Z,2024-07-13T12:45:02Z
UgyUk_uvnEmBWAUnF1t4AaABAg,,False,@mjpak2287,❤❤❤❤❤,0,2024-07-12T01:51:04Z,2024-07-12T01:51:04Z
Ugy-omPvXu4VJ3fGjXl4AaABAg,,False,@머고-d8s,6:01 8:00,0,2024-07-08T15:29:09Z,2024-07-08T15:31:43Z
UgyQr4UVQ_18hbVaUAR4AaABAg,,False,@pyeongnaeng,천사들이 내려온건가요?,0,2024-07-07T14:10:18Z,2024-07-07T14:10:18Z
UgxynlHCO_6slXgbjbx4AaABAg,,False,@Istarwberyygirl,Hair tornado 😭😭😭,0,2024-07-03T14:05:48Z,2024-07-03T14:05:48Z
UgyjYrRX2IsN7GYSiFV4AaABAg,,False,@paladin76,"1:20 ☀
6:53 팜하니.. 빛과 소금 노래 빠졌네",0,2024-06-27T09:33:48Z,2024-06-27T09:41:14Z
Ugw_eKrIjpK7hWm7sPF4AaABAg,,False,@yxrxx-u7t,3:45 미쳤냐 킴민지…🫠🫠🫠,0,2024-06-26T18:00:33Z,2024-06-26T18:00:33Z
Ugw_eKrIjpK7hWm7sPF4AaABAg.A59YhxPHLl5A59Yv8InB_w,Ugw_eKrIjpK7hWm7sPF4AaABAg,True,@yxrxx-u7t,4:25 미쳤냐 혜인리…🫠🫠🫠,0,2024-06-26T18:02:21Z,2024-06-26T18:03:22Z
Ugwqg5oJzblz-U5tazB4AaABAg,,False,@diaajunemarsh,Sweet like Bubble Gummm!,0,2024-06-25T14:41:29Z,2024-06-25T14:41:29Z
Ugzj4JoC6pxxPncNryZ4AaABAg,,False,@diariodamel6854,2:27 ❤,0,2024-06-19T23:29:48Z,2024-06-19T23:29:48Z
Ugwn_Z579gnoj4vuMwR4AaABAg,,False,@윤정한-s5d,"민대퓨님 진짜... 고생하십니다
울 뉴진스 만들어주셔서 감사해요",0,2024-06-18T12:20:22Z,2024-06-18T12:20:22Z
UgzeFX4VdnZ5po6O2Z54AaABAg,,False,@Mercypup,3:08 “I became a Shrek”,0,2024-06-18T02:51:54Z,2024-06-18T02:51:54Z
UgxlZM01DmqpiYuzWiZ4AaABAg,,False,@letskculture8930,"🟥[FACT CHECK] 소스뮤직 소성진 대표도 배신자 민두광 검은머리 짐승 고소하세요! 소스뮤직 소속 4명 일부러 델고나가 어도어 차려달라 해줘해줘 때써서 하이브 방 회장이 해주느라 그런건데 소스뮤직 르세라핌이 먼저 데뷰하려고 방해해 뉴진스 데뷰 늦은거라 호의를 권리라고 대놓고 거짓선동,우매한 민천지들 다 속임. 팩트는 소스뮤직에서 뽑은 4명 이후 1명 혜인만 민두광이 나중에 뽑은 것. 방 회장이 당시 이 신인 걸그룹에 진심이었고 민두광이 해달라는 건 다해주고 뉴진스는 각별히 파격투자한 “신데렐라”인데 정말 기가 막혀 졸도할 콩쥐 선동. 어도어 설립시부터 회사 탈취계획 세운, 싫으면 강성 반골 민두광이 싫었지 뉴진스를 싫어한게 아닐것.민두광은 입만 열면 다 거짓말. 그렇다고 민두광이 돈한푼 소 대표 주지도 않는데 음해까지 당함.그냥 참는 소성진 대표가 부처님임.정의 실현 바랍니다!!",2,2024-06-18T00:52:46Z,2024-06-18T00:52:46Z
Ugx50esxKl5p8JxQiTx4AaABAg,,False,@letskculture8930,"🟥[FACT CHECK]아 웃겨, 민천지들. 배신자 민두광이 카톡으로 뒤에서 뉴진스 저것들은 한거 없고 내 덕분이다 욕하고 특히 혜인이는 외모 쌍욕한거 법원 카톡 다 밝혀졌는데 니들은 그냥 보고 싶은거 듣고 싶은거만 걸러서 댓글다니??팩트는 인정할건 인정해라, 민천지 광신도들아.이건 악플이 아니라 팩트다.배신자 민두광은 위에 내용이 팩트가 아니면 꼭 고소바란다.그런 건덕지는 1도 없겠지만.고소하면 무고죄로 역고소해주고 뉴스에 나오고 이 팩트가 더 알려지니 오히려 더 좋다. 대중 앞에서 애도 낳아본적 없는데 감히 니가 엄마 코스프레를 하다니 기가 막힌 실상은 니가 바로 뉴진스 이용해 돈 독이 오른 개줌마다.니가 기자회견에서 르세라핌, 아일릿 일부러 언급하고 까내려서 인기 떨어뜨리고 팬덤간 싸움 부추긴 죄악은 반드시 천벌로 돌려받게 될거다 . 민두광 거짓말 그만해!",3,2024-06-18T00:11:50Z,2024-06-18T00:11:50Z
UgxV9qbYP-LEQAyisCN4AaABAg,,False,@혠스터0,4:24 혠이 진짜 청순하고 예쁘다 ㅠ 그와중에도 빠지지않는 개그 파로마~ ㅋㅋ 6:31 혠이 무도밈 ㅋㅋ,0,2024-06-16T07:41:31Z,2024-06-16T07:46:05Z
UgwsomVj9arNDppmM9x4AaABAg,,False,@realpeterkim,Haerin's friendship with the other NewJeans members is so heartwarming! They seem to have a real bond.,0,2024-06-14T07:54:10Z,2024-06-14T07:54:10Z
UgzQsDootSx62wEXf8h4AaABAg,,False,@yamakuchan8480,Hyein is so funny 😂😂😂❤,0,2024-06-13T17:27:26Z,2024-06-13T17:27:26Z
Ugxf2Y9A1HJSWER6fd54AaABAg,,False,@yosiafranklin3761,❤❤❤❤❤❤,0,2024-06-11T13:52:17Z,2024-06-11T13:52:17Z
UgzdSBAFtKSJwIGsDzN4AaABAg,,False,@r.adriannohf9519,Las amo❤,0,2024-06-10T03:50:28Z,2024-06-10T03:50:28Z
UgxhZ8hzfMyN9vP9vq14AaABAg,,False,@MSLDoctor,"🟥[Breaking News] “민희진, 하이브 떠나라! (MHJ, Leave HYBE!)” 배신자 민두광 퇴출 전세계 국제 청원 4만명 돌파! The international petition is signed by people now over 40,000 and still counting!",2,2024-06-09T06:26:42Z,2024-06-09T06:26:42Z
UgxDramVuLe5M6_bX9x4AaABAg,,False,@wandeeunscripted,We’re almost 2 years in and I still can’t get over Haerin’s cat like visuals & personality🫠😍,2,2024-06-08T08:09:33Z,2024-06-08T08:09:33Z
UgzDInYCxwxExaouJox4AaABAg,,False,@Chaessgx_.,"They are so pretty and talented, I love new jeans 💕",1,2024-06-08T00:10:32Z,2024-06-08T00:10:32Z
UgzollZkfehwlF-7fHt4AaABAg,,False,@최영란-r6o,뉴진스만이 살리 수 있는 것들.,0,2024-06-07T04:22:17Z,2024-06-07T04:22:17Z
UgwXIRxQ9-MeV-pezmV4AaABAg,,False,@qweruiop-w9e,4:52 웃음 소리가 무슨 효과음 같네 ㅋㅋ,1,2024-06-06T23:09:52Z,2024-06-06T23:09:52Z
UgwglrOn09Fdzy-x6RJ4AaABAg,,False,@mewwitchh,I hope you are doing well girls ♥,1,2024-06-06T07:57:57Z,2024-06-06T07:57:57Z
Ugzl9fIMl5TMv958Gll4AaABAg,,False,@pek9245,❤❤❤❤❤❤,0,2024-06-06T07:55:53Z,2024-06-06T07:55:53Z
UgyzvRk2ef_tzCnYZet4AaABAg,,False,@pek9245,❤❤❤❤❤❤❤❤,0,2024-06-06T07:50:40Z,2024-06-06T07:50:40Z
UgxQ49O1shr3J_Jqu1R4AaABAg,,False,@손지담,겸둥들아ㅠㅠ,0,2024-06-05T15:48:36Z,2024-06-05T15:48:36Z
UgzwSdkvyoz9v7NF0rl4AaABAg,,False,@MSLDoctor,"소스뮤직 소성진 대표도 배신자 민두광 검은머리 짐승 고소하세요!소스뮤직 소속 4명 일부러 델고나가 어도어 차려달라 해줘해줘 때써서 하이브 방 회장이 해주느라 그런건데 소스뮤직 르세라핌이 먼저 데뷰하려고 방해해 뉴진스 데뷰 늦은거라 호의를 권리라고 대놓고 거짓선동,우매한 민천지들 다 속임. 팩트는 소스뮤직에서 뽑은 4명 이후 1명 혜인만 민두광이 나중에 뽑은 것. 방 회장이 당시 이 신인 걸그룹에 진심이었고 민두광이 해달라는 건 다해주고 뉴진스는 각별히 파격투자한 “신데렐라”인데 정말 기가 막혀 졸도할 콩쥐 선동. 싫으면 강성 반골 민 년이 싫었지 뉴진스를 싫어한게 아닐것.민 년은 입만 열면 다 거짓말. 그렇다고 민 년이 돈한푼 소 대표 주지도 않는데 음해까지 당함.그냥 참는 소성진 대표가 부처님임.정의 실현 바랍니다!",2,2024-06-05T01:12:09Z,2024-06-05T02:42:22Z
UgxBg2WF4qRPTFzbVe14AaABAg,,False,@강산-p6q,오늘도 자기전에 힐링했다,0,2024-06-04T14:55:53Z,2024-06-04T14:55:53Z
UgyE7mf5fC6L_CeTYAd4AaABAg,,False,@aulias3623,MISS U HYEIN,0,2024-06-04T11:44:33Z,2024-06-04T11:44:33Z
Ugx6gwmhUlJjm4vEeCR4AaABAg,,False,@aulias3623,LOVEEEEEE YAAAAAAAAAAA,0,2024-06-04T11:37:28Z,2024-06-04T11:37:28Z
Ugz3aGp6ki4mH-iD8rF4AaABAg,,False,@johnconstantine7402,내가 알기로는 배신자 민두광이 한국음악산업 여자로선 최초로 래이블 대표 자리에 앉혀준 케이스 같은데 이딴식으로 배신하고 기자회견 열어 눈물 즙 짜면 편드는 정신나간 여초 팬덤이 잘 보여주었듯이 어떤 엔터업체도 절대 여자를 대표로 앉히는 일은 없을거다. 여초 여시 페미 니들 스스로 족쇄를 차게 만든거야. 법원에서도 인정한 배신한 검은머리짐승을 아직도 응원하다니 기가 막힌다.,3,2024-06-03T16:42:19Z,2024-06-03T16:42:19Z
UgxkmTjudzVW8QGB4uh4AaABAg,,False,@MSLDoctor,니들 무지막지한 뉴프티 팬덤이 얼마나 잘난 팬덤인지 모르겠는데 그런식으로 다른 하이브 레이블 걸그룹들과 팬덤들 다 까내리고 나만 잘났다 하면 반드시 대중 반발심리로 그 죄악이 돌아온다. 벌써 최근 뮤비도 조회수 급감하고 각종 차트에서 인기 떨어졌던데 벌써 그 결과가 조금씩 나오고 있는 걸 깨달아라. 이딴 식으로 하면 진짜 몇 년 못간다. 배신자 민두광 옹호 민천지 신도들 정신차려라.,3,2024-06-03T15:59:41Z,2024-06-03T15:59:41Z
